State,Incarc_rate_2,Incarc_rate,GDPPC,Gini,HSD,Health,Poverty,LFP,Unemp,V_part,W_gap,D_cont,G_cont,Corrup,Conserv,Religion,Violent Crime Rate,Property Crime Rate,Total Crime Rate,,,,,
Alabama,0.006532807,633,49091,0.4758,0.840,-0.66,0.192,0.545,0.068,0.3320,0.746,1,1,0.832,0.312,0.46,427.416,3177.604,3605.02,,,,,
Alaska,0.007030654,374,37083,0.4175,0.900,0.13,0.114,0.626,0.069,0.5480,0.791,0,1,-0.75,0.148,0.26,635.781,2760.027,3395.807,,,,,
Arizona,0.006097038,593,67366,0.4676,0.850,-0.04,0.182,0.553,0.068,0.3410,0.809,0,1,-0.072,0.138,0.33,399.852,3197.512,3597.364,,,,,
Arkansas,0.005981431,599,38438,0.4714,0.840,-0.93,0.187,0.548,0.06,0.4030,0.868,1,1,-0.116,0.274,0.45,480.149,3338.02,3818.17,,,,,
California,0.003467209,349,37252,0.489,0.820,0.35,0.164,0.591,0.075,0.3070,0.893,0,0,0.322,0.027,0.28,396.132,2441.059,2837.191,,,,,
Colorado,0.003726348,383,54606,0.4584,0.900,0.57,0.121,0.623,0.05,0.5470,0.813,0,0,-1.242,0.087,0.25,309.082,2530.123,2839.205,,,,,
Connecticut,0.004651537,326,52060,0.5005,0.890,0.74,0.108,0.638,0.066,0.4250,0.792,0,0,0.459,0.048,0.25,236.941,1920.384,2157.325,,,,,
Delaware,0.007305173,440,63650,0.4494,0.880,-0.23,0.130,0.579,0.057,0.3490,0.876,0,0,1.072,0.055,0.35,489.091,2981.999,3471.09,,,,,
Florida,0.004990676,513,62904,0.4834,0.860,-0.15,0.166,0.557,0.063,0.4330,0.830,1,1,0.877,0.149,0.32,540.489,3415.452,3955.941,,,,,
Georgia,0.005135509,517,38497,0.4801,0.850,-0.32,0.184,0.578,0.071,0.3860,0.837,1,1,0.421,0.202,0.39,377.297,3281.22,3658.517,,,,,
Hawaii,0.004106241,257,42694,0.4325,0.910,0.91,0.115,0.571,0.044,0.3650,0.928,0,0,0.248,-0.019,0.25,259.235,3050.027,3309.263,,,,,
Idaho,0.004822534,489,49073,0.4541,0.890,0.34,0.148,0.590,0.049,0.3980,0.855,1,1,-0.305,0.253,0.34,212.18,1854.798,2066.977,,,,,
Illinois,0.003771265,375,35083,0.4765,0.870,-0.08,0.143,0.626,0.071,0.4080,0.862,0,0,1.101,0.07,0.32,370.038,2075.877,2445.915,,,,,
Indiana,0.0044129,442,52359,0.4455,0.870,-0.38,0.152,0.605,0.06,0.2870,0.792,1,1,0.193,0.192,0.35,365.31,2649.384,3014.694,,,,,
Iowa,0.002819415,282,44539,0.4433,0.910,0.22,0.123,0.672,0.042,0.5030,0.810,1,0,-1.214,0.193,0.32,273.468,2093.768,2367.236,,,,,
Kansas,0.003323715,322,49397,0.4597,0.900,0.08,0.135,0.646,0.045,0.4330,0.789,1,1,0.118,0.18,0.33,348.586,2735.207,3083.793,,,,,
Kentucky,0.004881029,474,45570,0.4704,0.840,-0.75,0.190,0.557,0.065,0.4490,0.763,1,1,0.48,0.236,0.41,211.625,2246.901,2458.526,,,,,
Louisiana,0.008123177,816,38860,0.4902,0.820,-0.8,0.199,0.574,0.064,0.4490,0.775,1,1,0.838,0.283,0.46,514.746,3458.822,3973.567,,,,,
Maine,0.001683842,153,45067,0.4593,0.910,0.3,0.140,0.620,0.056,0.5870,0.824,0,1,-0.964,0.094,0.2,127.811,1986.408,2114.219,,,,,
Maryland,0.00349226,346,37807,0.4491,0.890,0.35,0.104,0.638,0.058,0.4200,0.869,1,0,0.507,0.045,0.31,446.104,2507.51,2953.614,,,,,
Massachusetts,0.001572717,188,53879,0.4863,0.890,0.74,0.117,0.627,0.057,0.4470,0.838,0,0,0.001723,-0.046,0.22,391.363,1857.071,2248.433,,,,,
Michigan,0.004370335,437,62145,0.4598,0.890,-0.21,0.162,0.584,0.072,0.4320,0.804,0,0,-0.254,0.139,0.32,427.331,2043.89,2471.221,,,,,
Minnesota,0.00192701,194,41695,0.4539,0.920,0.73,0.114,0.669,0.042,0.5060,0.842,1,0,-0.571,0.103,0.31,229.148,2297.472,2526.62,,,,,
Mississippi,0.006287964,597,53499,0.476,0.820,-1,0.219,0.523,0.075,0.2900,0.797,1,1,0.632,0.36,0.47,278.483,2921.165,3199.648,,,,,
Missouri,0.005242409,526,31651,0.4628,0.880,-0.28,0.155,0.617,0.061,0.3360,0.779,1,1,0.302,0.214,0.35,442.906,2906.48,3349.386,,,,,
Montana,0.003548133,360,42582,0.4544,0.920,0.28,0.152,0.601,0.047,0.4750,0.739,0,1,-0.193,0.22,0.27,323.668,2472.892,2796.56,,,,,
Nebraska,0.002852999,283,38820,0.4352,0.900,0.5,0.123,0.671,0.033,0.4140,0.809,1,1,-0.105,0.225,0.35,280.361,2523.461,2803.822,,,,,
Nevada,0.004264202,434,52317,0.4427,0.840,-0.33,0.154,0.586,0.079,0.2960,0.858,0,1,-0.346,0.135,0.27,635.589,2625.41,3260.999,,,,,
New Hampshire,0.002219817,219,43216,0.441,0.920,0.68,0.092,0.659,0.043,0.4830,0.812,0,1,0.001723,0.167,0.2,196.109,1962.673,2158.782,,,,,
New Jersey,0.002413782,241,48982,0.4757,0.880,0.47,0.111,0.620,0.068,0.3250,0.768,0,0,0.001723,0.044,0.3,261.194,1734.056,1995.251,,,,,
New Mexico,0.003373834,329,55841,0.477,0.830,-0.18,0.206,0.553,0.067,0.3540,0.776,0,1,1.611,0.134,0.36,597.39,3542.29,4139.68,,,,,
New York,0.002659774,265,40866,0.5111,0.850,0.39,0.160,0.589,0.063,0.2900,0.846,1,0,0.029,0.018,0.27,381.835,1718.212,2100.047,,,,,
North Carolina,0.003655935,358,63217,0.4748,0.850,-0.29,0.172,0.570,0.063,0.4120,0.861,1,1,-0.054,0.174,0.4,329.516,2873.07,3202.586,,,,,
North Dakota,0.002266631,214,43332,0.4664,0.910,0.55,0.111,0.681,0.027,0.4500,0.775,1,1,-1.082,0.275,0.32,265.05,2110.261,2375.311,,,,,
Ohio,0.004435797,444,69550,0.4637,0.880,-0.36,0.158,0.602,0.058,0.3620,0.784,1,1,0.721,0.161,0.32,284.885,2799.064,3083.948,,,,,
Oklahoma,0.00704717,700,46137,0.466,0.860,-0.74,0.166,0.576,0.045,0.3000,0.783,1,1,0.31,0.248,0.39,405.977,2990.729,3396.706,,,,,
Oregon,0.003682699,378,43588,0.4624,0.890,0.41,0.164,0.573,0.068,0.5340,0.822,0,1,-0.665,0.063,0.24,232.329,2879.046,3111.374,,,,,
Pennsylvania,0.003965355,394,48264,0.4686,0.890,0.01,0.136,0.604,0.059,0.3650,0.788,1,0,0.364,0.12,0.32,314.095,1931.743,2245.838,,,,,
Rhode Island,0.003179589,178,48203,0.4827,0.860,0.37,0.148,0.627,0.077,0.4240,0.784,0,0,1.36,0.039,0.28,219.206,2173.577,2392.783,,,,,
South Carolina,0.004313745,429,47852,0.4687,0.850,-0.64,0.179,0.548,0.065,0.3520,0.795,1,1,-0.418,0.246,0.42,497.715,3460.272,3957.987,,,,,
South Dakota,0.00416891,421,35962,0.4468,0.900,0.34,0.141,0.651,0.034,0.4470,0.787,1,1,-1.897,0.233,0.31,326.545,1863.861,2190.406,,,,,
Tennessee,0.004325389,437,46917,0.4811,0.850,-0.71,0.182,0.559,0.066,0.2980,0.902,1,1,-0.487,0.264,0.42,608.427,3060.562,3668.989,,,,,
Texas,0.005959351,584,41955,0.4827,0.820,-0.11,0.172,0.599,0.051,0.2830,0.818,1,1,-0.13,0.209,0.39,405.884,3019.384,3425.268,,,,,
Utah,0.002302688,237,52742,0.4283,0.900,0.73,0.118,0.627,0.038,0.3030,0.732,1,1,0.05,0.272,0.51,215.637,2878.485,3094.123,,,,,
Vermont,0.003168458,241,43154,0.4406,0.910,0.85,0.120,0.659,0.04,0.4080,0.892,0,1,-1.414,-0.032,0.17,99.272,1524.35,1623.622,,,,,
Virginia,0.00446325,449,43435,0.4658,0.880,0.3,0.118,0.618,0.052,0.3680,0.836,1,1,-0.407,0.154,0.35,196.246,1930.272,2126.518,,,,,
Washington,0.002486279,254,51101,0.4542,0.890,0.4,0.132,0.589,0.061,0.4310,0.810,0,0,0.197,0.047,0.24,285.151,3706.081,3991.231,,,,,
West Virginia,0.003766038,372,54662,0.4546,0.850,-0.71,0.183,0.518,0.066,0.3200,0.773,1,1,0.263,0.217,0.34,302.001,2034.668,2336.669,,,,,
Wisconsin,0.003910389,371,36337,0.4397,0.900,0.23,0.132,0.653,0.054,0.5690,0.814,1,0,-0.392,0.149,0.29,290.296,2088.348,2378.645,,,,,
Wyoming,0.004070019,408,46676,0.427,0.920,0.21,0.112,0.657,0.041,0.3970,0.677,1,1,-0.148,0.288,0.28,195.497,1964.725,2160.222,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
